V/C/P;letter;default/rules;number;description;rule;replaced;replaceby
V;a;default;0.0;no rule found;['a'];a;A
V;a;rules;1.0;last letter;['a',0];a;a:
V;a;rules;14.0;followed by a (aa);['a','V=a'];aa;a:
V;a;rules;9.0;followed by ai (aai);['a','V=a','V=i'];aai;a:i
V;a;rules;8.0;followed by aie (aaie);['a','V=a','V=i','V=e'];aaie;a:i@
V;a;rules;11.0;followed by aj (aaj);['a','C=a','C=j'];aaj;a:i
V;a;rules;10.0;followed by aje (aaje);['a','V=a','C=j','V=e'];aaje;a:i@
V;a;rules;7.0;followed by aij (aaij);['a','V=a','V=i','C=j'];aaij;a:i
V;a;rules;6.0;followed by aije (aaije);['a','V=a','V=i', 'C=j', 'V=e'];aaije;a:i@
V;a;rules;13.0;followed by ay (aay);['a','V=a','V=y'];aay;a:i
V;a;rules;12.0;followed by aye (aaye);['a','V=a','V=y','V=e'];aaye;a:i@
V;a;rules;5.0;followed by au (aau);['a','V=a','V=u'];aau;a:w
V;a;rules;4.0;followed by aue (aaue);['a','V=a','V=u','V=e'];aaue;a:w@
V;a;rules;3.0;followed by auw (aauw);['a','V=a','V=u','C=w'];aauw;a:w
V;a;rules;2.0;followed by auwe (aauwe);['a','V=a','V=u','C=w','V=e'];aauwe;a:w@
V;a;rules;22.0;followed by e (ae);['a','V=e'];ae;a:
V;a;rules;18.0;followed by ei (aei);['a','V=e','V=i'];aei;a:i
V;a;rules;17.0;followed by eie (aeie);['a','V=e','V=i','V=e'];aeie;a:i@
V;a;rules;16.0;followed by eij (aeij);['a','V=e','V=i','C=j'];aeij;a:i
V;a;rules;15.0;followed by eije (aeije);['a','V=e','V=i','C=j','V=e'];aeije;a:i@
V;a;rules;20.0;followed by ey (aey);['a','V=e','V=y'];aey;a:i
V;a;rules;19.0;followed by eye (aeye);['a','V=e','V=y','V=e'];aeye;a:i@
V;a;rules;21.0;followed by eu (aeu);['a','V=e','V=u'];aeu;a:w
V;a;rules;32.0;followed by i (ai);['a','V=i'];ai;Ai
V;a;rules;30.0;followed by ao + by 2 consonants;['a','V=o','C=1','C=1'];ao;a:O:
V;a;rules;31.0;followed by o (ao);['a','V=o'];ao;a:o:
V;a;rules;25.0;followed by u (au);['a','V=u'];au;Au
V;a;rules;24.0;followed by uw (auw);['a','V=u','C=w'];auw;Auw
V;a;rules;23.0;followed by uwe (auwe);['a','V=u','C=w','V=e'];auwe;Auw@
V;a;rules;27.0;followed by y (ay);['a','V=y'];ay;Ai
V;a;rules;26.0;followed by ye (aye);['a','V=y','V=e'];aye;Ai@
V;a;rules;29.0;followed by j (aj);['a','V=y'];aj;Ai
V;a;rules;28.0;followed by je (aje);['a','V=y','V=e'];aje;Ai@
V;a;rules;33.0;followed by ng (ang);['a','C=n','C=g'];ang;AN
V;a;rules;34.0;followed by ch (ach);['a','C=c','C=h'];ach;Ax
