aria                	Aria:              
arieus              	AriYs              
nu                  	ny                  
onfangt             	OnfANt              
orten               	Ort@n              
wat                 	wAt                 
aakster             	a:kst@r              
aal                 	a:l                 
aan                 	a:n                 
aanboren            	a:nbOr@n           
aandacht            	a:ndAxt             
aandachtig          	a:ndAxtIg           
aandoen             	a:ndun              
aangaan             	a:nxa:n              
aangehoord          	a:ng@ho:rt           
aanhooren           	a:nho:r@n           
aanmaatige          	a:nma:tIg@          
aanminnig           	a:nmInIx            
aanneemen           	a:n@m@n             
aanschouwen         	a:nsxAuw@n          
aanschouwers        	a:nsxAuw@rs         
aansien             	a:nsin              
aanstonds           	a:nstOnds           
aanstootelyks       	a:nsto:t@lIks       
aar                 	a:r                 
aardig              	a:rdIg              
aars                	a:rs                
aart                	a:rt                
aasem               	a:s@m               
abordeeren          	AbOrd@r@n          
abraham             	Abra:hAm             
absurd              	AbsYrt             
accedemy            	Ak@d@mi             
accoord             	Ako:rt              
accorderen          	AkOrd@r@n           
ach                 	Ax                  
acht                	Axt                 
achten              	Axt@n               
achter              	Axt@                
achtste             	Axtst@              
ad                  	At                  
adder               	Ad@r                 
adjudiceeren        	AdjydIs@r@n         
adstrucsy           	AdstrYksi           
advers              	Adv@s               
advocaat            	Advo:kAt             
advocaaten          	Advo:kAt@n           
advouëren          	Advu@r@n            
aen                 	a:n                 
aenzien             	a:nzin              
aer                 	a:r                 
aerdig              	a:rdIg              
aert                	a:rt                
aertje              	a:rtj@              
aêl                	a:l                 
aêr                	a:r                 
aêrs               	a:rs                
af                  	Af                  
afbyten             	Afbit@n             
afeschuijert        	Af@sx9yj@rt          
afgedaan            	Afx@da:n            
afgeschroffeld      	Afx@sxrOf@lt        
afgesteeken         	Afx@st@k@n          
afkaatsen           	Afka:ts@n           
aftemeeten          	Aft@m@t@n           
after               	Aft@r                
aftestryken         	Aft@strik@n         
ageeren             	Ax@r@n              
agter               	Axt@r                
al                  	Al                  
alberisper          	Alb@Isp@r            
aldaar              	Alda:r              
aldien              	Aldin               
aldus               	AldYs               
alewijn             	Al@win              
alewyn              	Al@win              
algemeen            	Alx@m@n             
alias               	AliAs              
alibi               	Alibi               
all                 	Al                  
alle                	Al@                 
alleen              	Al@n                
alleenig            	Al@nIx              
alleman             	Al@mAn              
allen               	Al@n                
allerbest           	Al@rb@st             
alles               	Al@s                
allien              	Alin                
alls                	Als                 
alrieds             	Alrids              
als                 	Als                 
alsoo               	Also:               
altegaer            	Alt@xa:r            
althans             	AltAns              
altoos              	Alto:s              
altyd               	Altit               
alwaar              	Alwa:r              
amper               	Amp@r                
amsteldam           	Amst@ldAm           
amsterdam           	Amst@rdAm            
amsterdamsche       	Amst@rdAms@          
amsterdamse         	Amst@rdAms@          
ander               	And@r                
anderdeels          	And@rd@ls            
andere              	And@r@               
anderen             	And@r@n              
anders              	And@rs               
angst               	ANst                
anne                	An@                 
antwoord            	Antwo:rt            
applicabel          	Applika:b@l           
appliceren          	Applis@r@n           
april               	AprIl               
argeweeren          	Arx@w@r@n          
argumenten          	ArxYm@nt@n         
aria                	Aria:              
arm                 	Arm                
arme                	Arm@               
armen               	Arm@n              
armstoel            	Armstul            
as                  	As                  
asia                	Asia:               
assuransje          	AsyrAnsj@          
attestacies         	At@stAsis           
attestacy           	At@stAsi             
attesteeren         	At@st@r@n           
aut                 	Aut                 
authoriseren        	Auto:rIs@r@n         
authoriteyt         	Auto:rItEit          
avecaet             	Av@ka:t              
avocaet             	Avo:ka:t              
avocaeten           	Avo:ka:t@n            
avond               	AvOnt               
baalde              	ba:ld@              
