aria                	A*ria:              
arieus              	A*riYs              
nu                  	ny                  
onfangt             	OnfANt              
orten               	O*rt@n              
wat                 	wAt                 
aakster             	a:kst@              
aal                 	a:l                 
aan                 	a:n                 
aanboren            	a:nbO*r@n           
aandacht            	a:ndAxt             
aandachtig          	a:ndAxtIg           
aandoen             	a:ndun              
aangaan             	a:Na:n              
aangehoord          	a:N@ho:rt           
aanhooren           	a:nho:r@n           
aanmaatige          	a:nma:tIg@          
aanminnig           	a:nmInIg            
aanneemen           	a:n@m@n             
aanschouwen         	a:nsxAuw@n          
aanschouwers        	a:nsxAuw@rs         
aansien             	a:nsin              
aanstonds           	a:nstOnds           
aanstootelyks       	a:nsto:t@lIks       
aar                 	a:r                 
aardig              	a:rdIg              
aars                	a:rs                
aart                	a:rt                
aasem               	a:s@m               
abordeeren          	AbO*rd@r@n          
abraham             	AbrAhAm             
absurd              	AbsA*rt             
accedemy            	Ak@d@mi             
accoord             	Ako:rt              
accorderen          	AkO*rd@@n           
ach                 	Ax                  
acht                	Axt                 
achten              	Axt@n               
achter              	Axt@                
achtste             	Axtst@              
ad                  	At                  
adder               	Ad@                 
adjudiceeren        	AdjYdIk@r@n         
adstrucsy           	AdstrYksi           
advers              	Adv@s               
advocaat            	AdvOkAt             
advocaaten          	AdvOkAt@n           
advouëren          	AdvAu@@n            
aen                 	a:n                 
aenzien             	a:nzin              
aer                 	a:r                 
aerdig              	a:rdIg              
aert                	a:rt                
aertje              	a:rtj@              
aêl                	a:l                 
aêr                	a:r                 
aêrs               	a:rs                
af                  	Af                  
afbyten             	Afbit@n             
afeschuijert        	Af@sx9yj@t          
afgedaan            	Afx@da:n            
afgeschroffeld      	Afx@sxrOf@lt        
afgesteeken         	Afx@st@k@n          
afkaatsen           	Afka:ts@n           
aftemeeten          	Aft@m@t@n           
after               	Aft@                
aftestryken         	Aft@strik@n         
ageeren             	Ax@r@n              
agter               	Axt@                
al                  	Al                  
alberisper          	Alb@Isp@            
aldaar              	Alda:r              
aldien              	Aldin               
aldus               	AldYs               
alewijn             	Al@win              
alewyn              	Al@win              
algemeen            	Alx@m@n             
alias               	Alia:s              
alibi               	AlIbi               
all                 	Al                  
alle                	Al@                 
alleen              	Al@n                
alleenig            	Al@nIg              
alleman             	Al@mAn              
allen               	Al@n                
allerbest           	Al@b@st             
alles               	Al@s                
allien              	Alin                
alls                	Als                 
alrieds             	Alrids              
als                 	Als                 
alsoo               	Also:               
altegaer            	Alt@xa:r            
althans             	AltAns              
altoos              	Alto:s              
altyd               	Altit               
alwaar              	Alwa:r              
amper               	Amp@                
amsteldam           	Amst@ldAm           
amsterdam           	Amst@dAm            
amsterdamsche       	Amst@dAms@          
amsterdamse         	Amst@dAms@          
ander               	And@                
anderdeels          	And@d@ls            
andere              	And@@               
anderen             	And@@n              
anders              	And@s               
angst               	ANst                
anne                	An@                 
antwoord            	Antwo:rt            
applicabel          	ApplIkb@l           
appliceren          	ApplIk@@n           
april               	AprIl               
argeweeren          	A*rx@w@r@n          
argumenten          	A*rxYm@nt@n         
aria                	A*ria:              
arm                 	A*rm                
arme                	A*rm@               
armen               	A*rm@n              
armstoel            	A*rmstul            
as                  	As                  
asia                	Asia:               
assuransje          	AsA*rAnsj@          
attestacies         	At@stAs@s           
attestacy           	At@stAs             
attesteeren         	At@st@r@n           
aut                 	Aut                 
authoriseren        	AutO*rIs@@n         
authoriteyt         	AutO*rIt@t          
avecaet             	Av@k@t              
avocaet             	AvOk@t              
avocaeten           	AvOk@t@n            
avond               	AvOnt               
baalde              	ba:ld@              
