aria                	Aria:               	A*ria:              
arieus              	AriYs               	A*riYs              
orten               	Ort@n               	O*rt@n              
aakster             	a:kst@r             	a:kst@              
aanboren            	a:nbOr@n            	a:nbO*r@n           
aangaan             	a:nxa:n             	a:Na:n              
aangehoord          	a:ng@ho:rt          	a:N@ho:rt           
aanminnig           	a:nmInIx            	a:nmInIg            
abordeeren          	AbOrd@r@n           	AbO*rd@r@n          
abraham             	Abra:hAm            	AbrAhAm             
absurd              	AbsYrt              	AbsA*rt             
accorderen          	AkOrd@r@n           	AkO*rd@@n           
adder               	Ad@r                	Ad@                 
adjudiceeren        	AdjydIs@r@n         	AdjYdIk@r@n         
advocaat            	Advo:kAt            	AdvOkAt             
advocaaten          	Advo:kAt@n          	AdvOkAt@n           
advouëren          	Advu@r@n            	AdvAu@@n            
afeschuijert        	Af@sx9yj@rt         	Af@sx9yj@t          
after               	Aft@r               	Aft@                
agter               	Axt@r               	Axt@                
alberisper          	Alb@Isp@r           	Alb@Isp@            
alias               	AliAs               	Alia:s              
alibi               	Alibi               	AlIbi               
alleenig            	Al@nIx              	Al@nIg              
allerbest           	Al@rb@st            	Al@b@st             
amper               	Amp@r               	Amp@                
amsterdam           	Amst@rdAm           	Amst@dAm            
amsterdamsche       	Amst@rdAms@         	Amst@dAms@          
amsterdamse         	Amst@rdAms@         	Amst@dAms@          
ander               	And@r               	And@                
anderdeels          	And@rd@ls           	And@d@ls            
andere              	And@r@              	And@@               
anderen             	And@r@n             	And@@n              
anders              	And@rs              	And@s               
applicabel          	Applika:b@l         	ApplIkb@l           
appliceren          	Applis@r@n          	ApplIk@@n           
argeweeren          	Arx@w@r@n           	A*rx@w@r@n          
argumenten          	ArxYm@nt@n          	A*rxYm@nt@n         
aria                	Aria:               	A*ria:              
arm                 	Arm                 	A*rm                
arme                	Arm@                	A*rm@               
armen               	Arm@n               	A*rm@n              
armstoel            	Armstul             	A*rmstul            
assuransje          	AsyrAnsj@           	AsA*rAnsj@          
attestacies         	At@stAsis           	At@stAs@s           
attestacy           	At@stAsi            	At@stAs             
authoriseren        	Auto:rIs@r@n        	AutO*rIs@@n         
authoriteyt         	Auto:rItEit         	AutO*rIt@t          
avecaet             	Av@ka:t             	Av@k@t              
avocaet             	Avo:ka:t            	AvOk@t              
avocaeten           	Avo:ka:t@n          	AvOk@t@n            
baldaedigheden      	bAlda:dIxh@d@n      	bAlda:dIg@d@n       
bank                	bANk                	bAnk                
banken              	bANk@n              	bAnk@n              
barre               	bArr@               	bA*rr@              
bartholus           	bArto:lYs           	bA*rtOlYs           
basterd             	bAst@rt             	bAst@t              
batavia             	bAta:via:           	bAtAvia:            
bedanken            	b@dANk@n            	b@dAnk@n            
beduijen            	b@d9y@n             	b@d9yj@n            
beeker              	b@k@r               	b@k@                
beeter              	b@t@r               	b@t@                
bei                 	b@Ei                	b@                  
beid                	bEit                	b@t                 
beide               	bEid@               	b@d@                
beiden              	bEid@n              	b@d@n               
beijen              	bEi@n               	b@j@n               
bekommerd           	b@kOm@rt            	b@kOm@t             
benieuwt            	b@niyuwt            	b@niyut             
berg                	b@rx                	b@x                 
bergen              	b@rx@n              	b@x@n               
berger              	b@rx@r              	b@x@                
bescheid            	b@sxEit             	b@sx@It             
bescheiden          	b@sxEid@n           	b@sx@Id@n           
bestormen           	b@stOrm@n           	b@stO*rm@n          
beuken              	b2:k@n              	b@k@n               
beur                	b2:r                	b@r                 
beurs               	b2:rs               	b@rs                
beursesnijen        	b2:rs@sni@n         	b@rs@sni@n          
beurt               	b2:rt               	b@rt                
beuzelen            	b2:z@l@n            	b@z@l@n             
bewerken            	b@w@rk@n            	b@w@k@n             
bezonder            	b@zOnd@r            	b@zOnd@             
bibliotheecq        	bIblio:t@k          	bIblio:t@kk         
blaauw              	blAuw               	bla:w               
bloodshoofds        	blo:dsho:fds        	blo:dsjo:fds        
blyft               	blift               	blIft               
blyk                	blik                	blIk                
blyken              	blik@n              	blIk@n              
blykt               	blikt               	blIkt               
blyspeelen          	blisp@l@n           	blIsp@l@n           
blyspel             	blisp@l             	blIsp@l             
blyspellen          	blisp@l@n           	blIsp@l@n           
blyyen              	bli@n               	bliin               
bord                	bOrt                	bO*rt               
borst               	bOrst               	bO*rst              
boven               	bo:v@n              	bOv@n               
bovengemelde        	bo:v@nx@m@ld@       	bOv@@m@ld@          
bovenste            	bo:v@nst@           	bOv@nst@            
brengen             	br@N@n              	br@@n               
bruijen             	br9y@n              	br9yj@n             
bruy                	br9y                	brYi                
burgemiesters       	bYrx@mist@rs        	bA*rx@mist@s        
burger              	bYrx@r              	bA*rx@              
buur                	byr                 	byu@s               
buuren              	byr@n               	byu@sn              
buurman             	byrmAn              	byu@sAn             
byltje              	biltj@              	bIltj@              
bysonder            	bisOnd@r            	bisOnd@             
bysondere           	bisOnd@r@           	bisOnd@@            
byster              	bist@r              	bIst@               
bytje               	bitj@               	bItj@               
byzondere           	bizOnd@r@           	bizOnd@@            
byzonderlyk         	bizOnd@rlIk         	bizOnd@lIk          
cabas               	ka:bAs              	kbAs                
calangie            	ka:lANi             	klANi               
carel               	ka:r@l              	kr@l                
carels              	ka:r@ls             	kr@ls               
cas                 	kAs                 	ks                  
casus               	ka:sYs              	ksYs                
cat                 	kAt                 	kt                  
catje               	kAtj@               	ktj@                
cesserende          	s@s@r@nd@           	k@s@@nd@            
cobus               	ko:bYs              	kObYs               
commediant          	kOm@diAnt           	kOm@dia:nt          
communi             	kOmyni              	kOmYni              
comparatie          	kOmpA:ra:ti         	kOmpA*rAti          
concludeer          	kOnklyd@r           	kOnklYd@r           
conclusy            	kOnklysi            	kOnklYsi            
confrater           	kOnfra:t@r          	kOnfrAt@            
confrere            	kOnfr@r@            	kOnfr@@             
conjungeeren        	kOnjYnx@r@n         	kOnjAN@r@n          
consenteren         	kOns@nt@r@n         	kOns@nt@@n          
contrarie           	kOntra:ri           	kOntrA*ri           
contrary            	kOntra:ri           	kOntrA*ri           
converseerde        	kOnv@rs@rd@         	kOnv@s@rd@          
copye               	ko:pi               	kOpi                
coridon             	ko:ridOn            	kO*rIdOn            
