nu                  	ny                  
onfangt             	OnfANt              
wat                 	wAt                 
aal                 	a:l                 
aan                 	a:n                 
aandacht            	a:ndAxt             
aandachtig          	a:ndAxtIg           
aandoen             	a:ndun              
aanhooren           	a:nho:r@n           
aanmaatige          	a:nma:tIg@          
aanneemen           	a:n@m@n             
aanschouwen         	a:nsxAuw@n          
aanschouwers        	a:nsxAuw@rs         
aansien             	a:nsin              
aanstonds           	a:nstOnds           
aanstootelyks       	a:nsto:t@lIks       
aar                 	a:r                 
aardig              	a:rdIg              
aars                	a:rs                
aart                	a:rt                
aasem               	a:s@m               
accedemy            	Ak@d@mi             
accoord             	Ako:rt              
ach                 	Ax                  
acht                	Axt                 
achten              	Axt@n               
achter              	Axt@                
achtste             	Axtst@              
ad                  	At                  
adstrucsy           	AdstrYksi           
advers              	Adv@s               
aen                 	a:n                 
aenzien             	a:nzin              
aer                 	a:r                 
aerdig              	a:rdIg              
aert                	a:rt                
aertje              	a:rtj@              
aêl                	a:l                 
aêr                	a:r                 
aêrs               	a:rs                
af                  	Af                  
afbyten             	Afbit@n             
afgedaan            	Afx@da:n            
afgeschroffeld      	Afx@sxrOf@lt        
afgesteeken         	Afx@st@k@n          
afkaatsen           	Afka:ts@n           
aftemeeten          	Aft@m@t@n           
aftestryken         	Aft@strik@n         
ageeren             	Ax@r@n              
al                  	Al                  
aldaar              	Alda:r              
aldien              	Aldin               
aldus               	AldYs               
alewijn             	Al@win              
alewyn              	Al@win              
algemeen            	Alx@m@n             
all                 	Al                  
alle                	Al@                 
alleen              	Al@n                
alleman             	Al@mAn              
allen               	Al@n                
alles               	Al@s                
allien              	Alin                
alls                	Als                 
alrieds             	Alrids              
als                 	Als                 
alsoo               	Also:               
altegaer            	Alt@xa:r            
althans             	AltAns              
altoos              	Alto:s              
altyd               	Altit               
alwaar              	Alwa:r              
amsteldam           	Amst@ldAm           
angst               	ANst                
anne                	An@                 
antwoord            	Antwo:rt            
april               	AprIl               
as                  	As                  
asia                	Asia:               
attesteeren         	At@st@r@n           
aut                 	Aut                 
avond               	AvOnt               
baalde              	ba:ld@              
baaren              	ba:r@n              
baeren              	ba:r@n              
bagatellen          	bAxAt@l@n           
bak                 	bAk                 
bakkes              	bAkk@s              
baldus              	bAldYs              
balken              	bAlk@n              
ballen              	bAl@n               
balsem              	bAls@m              
bassen              	bAs@n               
bastonneeren        	bAstOn@r@n          
bed                 	b@t                 
bedaar              	b@da:r              
bedaard             	b@da:rt             
bede                	b@d@                
bedenken            	b@d@nk@n            
bedieden            	b@did@n             
bedot               	b@dOt               
bedotten            	b@dOt@n             
bedrooge            	b@dro:x@            
bedroogen           	b@dro:x@n           
bedryf              	b@drif              
bedryten            	b@drit@n            
bedryven            	b@driv@n            
beduit              	b@d9yt              
beelt               	b@lt                
been                	b@n                 
beest               	b@st                
bef                 	b@f                 
begaan              	b@xa:n              
begeerende          	b@x@r@nd@           
begin               	b@xIn               
beginnen            	b@xIn@n             
begint              	b@xInt              
begraaven           	b@xra:v@n           
begrypen            	b@xrip@n            
behalven            	b@hAlv@n            
behandeld           	b@hAnd@lt           
behoesten           	b@hust@n            
behoord             	b@ho:rt             
behooren            	b@ho:r@n            
behoorlyk           	b@ho:rlIk           
behoort             	b@ho:rt             
bek                 	b@k                 
bekeeven            	b@k@v@n             
beken               	b@k@n               
bekend              	b@k@nt              
bekenden            	b@k@nd@n            
bekennen            	b@k@n@n             
bekent              	b@k@nt              
beklaaglyke         	b@kla:xlIk@         
beklat              	b@klAt              
beknopt             	b@knOpt             
bekyken             	b@kik@n             
belaaden            	b@la:d@n            
belaagen            	b@la:x@n            
belaên             	b@la:n              
beleedigen          	b@l@dIx@n           
beleezen            	b@l@z@n             
belet               	b@l@t               
beletten            	b@l@t@n             
bellen              	b@l@n               
beloft              	b@lOft              
beloof              	b@lo:f              
beloofd             	b@lo:ft             
beloofje            	b@lo:fj@            
belooft             	b@lo:ft             
belooven            	b@lo:v@n            
bemind              	b@mInt              
ben                 	b@n                 
benevens            	b@n@v@ns            
benje               	b@nj@               
bennen              	b@n@n               
benoemt             	b@numt              
benouwen            	b@nAuw@n            
bent                	b@nt                
beplyten            	b@plit@n            
bepraeten           	b@pra:t@n           
beschermheeren      	b@sx@rmh@r@n        
bescherminge        	b@sx@rmIN@          
beschryven          	b@sxriv@n           
beslaagen           	b@sla:x@n           
beslabben           	b@slAb@n            
beslikte            	b@slIkt@            
beslissen           	b@slIs@n            
besluit             	b@sl9yt             
besse               	b@s@                
best                	b@st                
bestaen             	b@sta:n             
beste               	b@st@               
besteeden           	b@st@d@n            
bestevaar           	b@st@va:r           
besukte             	b@sYkt@             
betaalen            	b@ta:l@n            
betaaling           	b@ta:lIN            
betaelen            	b@ta:l@n            
beticht             	b@tIxt              
betiên             	b@tin               
bevat               	b@vAt               
beveelje            	b@v@lj@             
bevonden            	b@vOnd@n            
bevoorens           	b@vo:r@ns           
bevrijen            	b@vri@n             
bewaart             	b@wa:rt             
bewoogen            	b@wo:x@n            
bewys               	b@wis               
bewysen             	b@wis@n             
bewyzen             	b@wiz@n             
bezaadigd           	b@za:dIxt           
bezint              	b@zInt              
bezoeken            	b@zuk@n             
bezwaard            	b@zwa:rt            
bezwaeren           	b@zwa:r@n           
bichten             	bIxt@n              
bid                 	bIt                 
bidje               	bIdj@               
bier                	bir                 
billen              	bIl@n               
billyk              	bIlik               
binje               	bInj@               
binnen              	bIn@n               
bits                	bIts                
blaân              	bla:n               
blad                	blAt                
blauwe              	blAuw@              
bleef               	bl@f                
bleek               	bl@k                
blind               	blInt               
blinden             	blInd@n             
bloed               	blut                
bloeijen            	blui@n              
bloemen             	blum@n              
bloemfestoen        	blumf@stun          
bloempje            	blumpj@             
bloempjes           	blumpj@s            
bloesem             	blus@m              
blom                	blOm                
bloosje             	blo:sj@             
bly                 	bli                 
blyf                	blif                
blyven              	bliv@n              
blyvende            	bliv@nd@            
boek                	buk                 
boekje              	bukj@               
boel                	bul                 
boenen              	bun@n               
boer                	bur                 
boere               	bur@                
boeren              	bur@n               
boerin              	burIn               
boertjes            	burtj@s             
boete               	but@                
boeten              	but@n               
boevenstukken       	buv@nstYkk@n        
boksen              	bOks@n              
bolle               	bOl@                
bondel              	bOnd@l              
bondig              	bOndIg              
bondige             	bOndIg@             
bonk                	bOnk                
boode               	bo:d@               
boomen              	bo:m@n              
booter              	bo:t@               
bouwen              	bAuw@n              
braaf               	bra:f               
braajen             	bra:i@n             
braef               	bra:f               
brande              	brAnd@              
breed               	br@t                
breede              	br@d@               
breek               	br@k                
breeken             	br@k@n              
breekspul           	br@kspYl            
breekt              	br@kt               
brengt              	br@t                
breuk               	br@k                
briefjes            	brifj@s             
brieven             	briv@n              
brocht              	brOxt               
broek               	bruk                
brokken             	brOkk@n             
brood               	bro:t               
brugman             	brYxmAn             
bruid               	br9yt               
bruigom             	br9yxOm             
bruiloft            	br9ylOft            
bruiloften          	br9ylOft@n          
bruiloftsfeest      	br9ylOftsf@st       
buigen              	b9yx@n              
buiksloot           	b9ykslo:t           
buiten              	b9yt@n              
bukken              	bYkk@n              
bullepees           	bYl@p@s             
bundel              	bYnd@l              
bunschoten          	bYnsxOt@n           
by                  	bi                  
byget               	bix@t               
byten               	bit@n               
byzyn               	bizin               
cees                	k@s                 
centrom             	k@ntrOm             
claar               	kla:r               
claartje            	kla:rtj@            
coert               	kurt                
collationeeren      	kOlAtio:n@r@n       
compleet            	kOmpl@t             
condemneeren        	kOnd@mn@r@n         
consente            	kOns@nt@            
continuatie         	kOntInya:ti         
contra              	kOntra:             
cootjes             	ko:tj@s             
credit              	kr@dIt              
crelis              	kr@lIs              
daad                	da:t                
daag                	da:x                
daanschouwers       	da:nsxAuw@rs        
daar                	da:r                
daarom              	da:rOm              
daer                	da:r                
daerde              	da:rd@              
daerom              	da:rOm              
daet                	da:t                
dag                 	dAx                 
dak                 	dAk                 
dan                 	dAn                 
dank                	dAnk                
dankje              	dAnkj@              
das                 	dAs                 
dat                 	dAt                 
datj                	dAtj                
datje               	dAtj@               
datmen              	dAtm@n              
dats                	dAts                
dattestanten        	dAt@stAnt@n         
datze               	dAtz@               
dauws               	dAuws               
davocaaten          	dAvOkAt@n           
de                  	d@                  
dee                 	d@                  
deed                	d@t                 
deeden              	d@d@n               
deel                	d@l                 
deele               	d@l@                
deen                	d@n                 
deene               	d@n@                
deer                	d@r                 
deerste             	d@rst@              
dees                	d@s                 
deeze               	d@z@                
deezen              	d@z@n               
deezer              	d@z@                
deezes              	d@z@s               
demonstreeren       	d@mOnstr@r@n        
den                 	d@n                 
dende               	d@nd@               
denk                	d@nk                
denken              	d@nk@n              
denkt               	d@nkt               
des                 	d@s                 
dese                	d@s@                
deselve             	d@s@lv@             
desen               	d@s@n               
dewyl               	d@wil               
deze                	d@z@                
dezelve             	d@z@lv@             
dezen               	d@z@n               
dezes               	d@z@s               
dicht               	dIxt                
dichte              	dIxt@               
dicteeren           	dIkt@r@n            
die                 	di                  
diefje              	difj@               
diek                	dik                 
dien                	din                 
dienaar             	dina:r              
dienen              	din@n               
dienst              	dinst               
dienste             	dinst@              
dient               	dint                
diepe               	dip@                
diergelyk           	dirx@lIk            
dies                	dis                 
dik                 	dIk                 
dikketons           	dIkk@tOns           
dikmaals            	dIkma:ls            
dilay               	dIlAi               
ding                	dIN                 
dingen              	dIN@n               
discoerzen          	dIskurz@n           
distinctelyk        	dIstInkt@lIk        
itto                	Ito:                
doch                	dOx                 
docht               	dOxt                
doctoor             	dOkto:r             
doe                 	du                  
doeje               	duj@                
